tick,hr,eda
0,68.00369046007245,2.089623661252541
1,67.17758643391335,1.7328224483728176
2,66.63598764448483,1.7025060335010613
3,68.18043080779232,2.40206457366636
4,66.52338044434602,1.8138575300540178
5,69.4695261505556,2.107066102448018
6,68.3162427469937,1.7208595865875387
7,67.91224453261017,2.2085909583374863
8,63.967356358144755,1.8627152716879345
9,62.29633178059747,1.6131386780645072
10,62.47479488662481,1.9294726606775956
11,64.19766055566889,2.0813793076465106
12,68.47025325987268,1.9439207166110137
13,60.44972086753846,1.838392131246009
14,67.85449716379678,2.0339926958009924
15,63.40959270348382,1.8566740171898208
16,65.06444276583008,1.7573488281723202
17,71.18269587015824,1.757739597400431
18,67.90243488516344,2.2653169602149523
19,66.2491987017701,1.966489415124752
20,68.33139242974845,2.0191345322765186
21,64.32483252074692,2.0228420691131026
22,72.07647026522461,1.5358565965614552
23,70.57814806406479,2.0358062077089745
24,66.07558881767834,2.6001249639027266
25,70.28677913625414,1.6402133293684331
26,68.22354868631439,2.1730068751010556
27,67.43365362394775,2.2048730801585616
28,67.80044803955175,2.2001742682502985
29,72.31556777496846,1.7973013246983043
30,68.60941583116883,1.8610077270384755
31,68.3818052336775,1.6438416416449582
32,66.26209521049198,1.941141208158651
33,70.69629161630122,2.3435666022362396
34,64.02941662254723,1.761607290203885
35,69.94071026772026,1.4022740647476517
36,66.6104904051429,1.9708139222989733
37,71.77104493186046,2.2068211701712266
38,67.0183597393334,1.8894272317700123
39,67.24941379844623,2.457058820136848
40,66.7159251722814,1.9088958834905811
41,69.0577672018558,1.9637688664740636
42,67.40814731610283,1.6657798570546831
43,67.96543559588436,1.8669256331076742
44,71.49838332857067,2.195926550810349
45,67.92756916097021,2.200514306980203
46,66.98039134486055,2.315637907528084
47,67.98380131798513,2.175014706254124
48,64.12732026402954,2.104004014663529
49,62.93538764790038,1.3894013165180203
50,67.08656936686569,1.7300217177204216
51,68.49215838713667,2.673426987945815
52,65.50483045576375,1.8128169240668282
53,68.61621183819409,2.1479039874237067
54,67.47078180228273,1.938220900924035
55,70.10738886536163,2.1559722911101695
56,64.89897250377894,1.9762456044152474
